image,tag,score
0,"lakeside, lakeshore",0.7325487732887268
0,boathouse,0.10267845541238785
0,"valley, vale",0.008473873138427734
0,steel arch bridge,0.006660813465714455
0,castle,0.005854520946741104
0,viaduct,0.005834347568452358
0,pier,0.005124136805534363
0,"dam, dike, dyke",0.003988134674727917
0,canoe,0.0033301529474556446
0,suspension bridge,0.0031952213030308485
0,palace,0.002808369928970933
0,pole,0.002591537544503808
0,"dock, dockage, docking facility",0.002206415869295597
0,water snake,0.001675202394835651
0,"barracouta, snoek",0.0014197123236954212
0,reel,0.0012977939331904054
0,"promontory, headland, head, foreland",0.0012853203807026148
0,"paddle, boat paddle",0.0012777155498042703
0,"sandbar, sand bar",0.0011640018783509731
0,mud turtle,0.0011330473935231566
0,crane,0.0010289978235960007
0,"paddlewheel, paddle wheel",0.0010275200475007296
0,"electric ray, crampfish, numbfish, torpedo",0.001026600250042975
0,"flagpole, flagstaff",0.0009625254897400737
0,"greenhouse, nursery, glasshouse",0.0008978418190963566
0,"American alligator, Alligator mississipiensis",0.000865441863425076
0,park bench,0.0008628467912785709
0,balloon,0.0008299356559291482
0,"breakwater, groin, groyne, mole, bulwark, seawall, jetty",0.0008289077668450773
